base;nombre;apellido
Sebastián López de Arteaga;Sebastián;López de Arteaga
Alonso López de Herrera;Alonso;López de Herrera
Francisco López y Castro;Francisco;López y Castro
Estevao do Loreto Joassar;Estevao do;Loreto Joassar
Francisco Lovera;Francisco;Lovera
William Lovett;William;Lovett
José Lozano;José;Lozano
Cristóbal Lozano;Cristóbal;Lozano
Bosset de Luze;Bosset de;Luze
Francisco Macías;Francisco;Macías
Ebenezer Mack;Ebenezer;Mack
MacKay;;MacKay
Mariano Salvador Maella;Mariano Salvador;Maella
Jacob Maentel;Jacob;Maentel
Domingo Maestre;Domingo;Maestre
Matías Maestro;Matías;Maestro
José Joaquín Magón;José Joaquín;Magón
Edward Greene Malbone;Edward Greene;Malbone
Luis Francisco Maldonado;Luis Francisco;Maldonado
Miguel Mateo Maldonado;Miguel Mateo;Maldonado
Juan Manosalvas;Juan;Manosalvas
Padre Manuel, El Jesuita;Padre;Manuel El Jesuita
Carlo Maratta;Carlo;Maratta
Carlos Maratta;Carlos;Maratta
Manuel Marimón;Manuel;Marimón
Francisco Martínez;Francisco;Martínez
José Martínez;José;Martínez
Pedro Martínez;Pedro;Martínez
Miguel Antonio Martínez de Pocasangre;Miguel Antonio;Martínez de Pocasangre
Manuel Martínez Zaldúa;Manuel;Martínez Zaldúa
Antonio Martins da Silveira;Antonio;Martins da Silveira
Eusebio de Matos;Eusebio de;Matos
Paolo de Matteis;Paolo de;Matteis
Frederick W. Mayhew;Frederick W.;Mayhew
James McArdell;James;McArdell
Thomas McIlworth;Thomas;McIlworth
José Medina;José;Medina
Angelino Medoro;Angelino;Medoro
Luis de Mena;Luis de;Mena
Diego de Mendoza;Diego de;Mendoza
Miguel de Mendoza;Miguel de;Mendoza
José Mendoza;José;Mendoza
José Mendoza Moctezuma;José;Mendoza Moctezuma
Mercado;;Mercado
Manuel Merchán Cano;Manuel;Merchán Cano
Tomás de Merlo;Tomás de;Merlo
Antonio Mermejo;Antonio;Mermejo
Eliab Metcalf;Eliab;Metcalf
Mateo Mexia;Mateo;Mexia
Jeremiah Meyer;Jeremiah;Meyer
John Izard Middleton;John Izard;Middleton
Bernardo de Miera;Bernardo de;Miera
John Miers;John;Miers
Abraham Mignon;Abraham;Mignon
Edward Miles;Edward;Miles
Juan Rubí de Miramón;Juan Rubí de;Miramón
Francisco Benito de Miranda;Francisco Benito de;Miranda
Theodore Moise;Theodore;Moise
Antonio Molleno;Antonio;Molleno
Isidoro Francisco de Moncada;Isidoro Francisco de;Moncada
Francisco de Moncada;Francisco de;Moncada
Isidoro de Moncada;Isidoro de;Moncada
Antonio de Montúfar;Antonio de;Montúfar
José de Mora;José de;Mora
Juan de Mora;Juan de;Mora
Jean de Morainville;Jean de;Morainville
José Morales Pbro;José;Morales
Francisco de Morales;Francisco de;Morales
Luis Morales;Luis;Morales
Matheo Moreno;Matheo;Moreno
Francisco Morlete;Francisco;Morlete
Juan Patricio Morlete Ruiz;Juan Patricio;Morlete Ruiz
Mariano Morlette;Mariano;Morlette
Samuel F. B. Morse;Samuel F. B.;Morse
José de la Mota;José de la;Mota
Reuben Moulthrop;Reuben;Moulthrop
William Sidney Mount;William Sidney;Mount
Cristóforo Munari;Cristóforo;Munari
Benito Muñoz;Benito;Muñoz
Gaspar Muñoz;Gaspar;Muñoz
Blas Muñoz del Barco;Blas;Muñoz del Barco
Girolamo Muziano;Girolamo;Muziano
Joao Francisco Muzzi;Joao Francisco;Muzzi
Angelus Nardi;Angelus;Nardi
Juan Bautista Narria;Juan Bautista;Narria
Alonso de Narváez;Alonso de;Narváez
Joaquim José da Natividade;Joaquim José da;Natividade
A Nava;A;Nava
José Navarro;José;Navarro
Francois Joseph Navez;Francois Joseph;Navez
John Neagle;John;Neagle
Enrique Nicolás;Enrique;Nicolás
Bernabé Nina;Bernabé;Nina
Luis Niño;Luis;Niño
Pedro Nolasco;Pedro;Nolasco
Pedro José Noriega;Pedro José;Noriega
José Núñez de Sotomayor;José;Núñez de Sotomayor
Alonso O’Crowley;Alonso;O’Crowley
Diego de Ocaña;Diego de;Ocaña
Juan Francisco Ochoa;Juan Francisco;Ochoa
Francisco Ochoa;Francisco;Ochoa
Mercedes Ogazón;Mercedes;Ogazón
Nicolás de Oliva;Nicolás de;Oliva
Florentino Olivares;Florentino;Olivares
Francisco de Paula Oliveira Dias;Francisco de Paula;Oliveira Dias
José Oliveira Rosa;José;Oliveira Rosa
Manuel Oquendo;Manuel;Oquendo
Francisco Ortega;Francisco;Ortega
Ignacio Ortega;Ignacio;Ortega
José Ortiz;José;Ortiz
Pedro Tiburcio Ortíz;Pedro Tiburcio;Ortíz
Juan Osorio;Juan;Osorio
Félix Ospino;Félix;Ospino
Bass Otis;Bass;Otis
Gabriel José Ovalle;Gabriel José;Ovalle
Pedro Ovalle Díaz;Pedro;Ovalle Díaz
Luís de Oviedo;Luís de;Oviedo
Basilio Pacheco;Basilio;Pacheco
Francisco de Padilla;Francisco de;Padilla
José Padilla;José;Padilla
Padilla;;Padilla
José de Páez;José de;Páez
José Páez;José;Páez
William Page;William;Page
Antonio Palacios;Antonio;Palacios
Ascencio Palacios;Ascencio;Palacios
Manuel Palacios;Manuel;Palacios
Armand Julien Palliere;Armand Julien;Palliere
Jane Palmer;Jane;Palmer
John Paradise;John;Paradise
Pedro Pardo;Pedro;Pardo
Lázaro Pardo de Cárdenas;Lázaro;Pardo de Cárdenas
Juan Pardo de Lago Osorio;Juan;Pardo de Lago Osorio
Lázaro Pardo de Lagos;Lázaro;Pardo de Lagos
Paredes;;Paredes
Nehemiah Partridge;Nehemiah;Partridge
Jeremiah Paul;Jeremiah;Paul
Manuel Paz;Manuel;Paz
Mateo Paz;Mateo;Paz
Raphaelle Peale;Raphaelle;Peale
Anna Claypoole Peale;Anna Claypoole;Peale
Charles Willson Peale;Charles Willson;Peale
Sarah Miriam Peale;Sarah Miriam;Peale
James Peale;James;Peale
Rembrandt Peale;Rembrandt;Peale
Charles Peale Polk;Charles;Peale Polk
James M. Pearce;James M.;Pearce
Sheldon Peck;Sheldon;Peck
Lewis Peckham;Lewis;Peckham
Robert Peckham;Robert;Peckham
John Ritto Penniman;John Ritto;Penniman
Rafael de la Peña;Rafael de la;Peña
D. Peña;D.;Peña
Mariano Peña y Herrera;Mariano;Peña y Herrera
José Antonio Peñaloza;José Antonio;Peñaloza
Tomás Javier de Peralta;Tomás Javier de;Peralta
José de Peralta;José de;Peralta
Javier Peralta;Javier;Peralta
Iones Peres;Iones;Peres
Simón Pereyns;Simón;Pereyns
A. Pérez;A.;Pérez
Bartolomé Pérez;Bartolomé;Pérez
Diego Pérez;Diego;Pérez
Pascual Pérez;Pascual;Pérez
Vicente Pérez;Vicente;Pérez
Antonio Pérez de Aguilar;Antonio;Pérez de Aguilar
Mateo Pérez de Alesio;Mateo;Pérez de Alesio
Melchor Pérez de Holguín;Melchor;Pérez de Holguín
Fabián Pérez de Medina;Fabián;Pérez de Medina
José Pérez de Parada;José;Pérez de Parada
Juan Pérez de Salazar;Juan;Pérez de Salazar
Pérez M.;;Pérez M.
